new,volume_id,chapter,section,text
0,18,1,1,ウヅの地にヨブという名の人があった。そのひととなりは全く、かつ正しく、神を恐れ、悪に遠ざかった。
0,18,1,2,彼に男の子七人と女の子三人があり、
0,18,1,3,その家畜は羊七千頭、らくだ三千頭、牛五百くびき、雌ろば五百頭で、しもべも非常に多く、この人は東の人々のうちで最も大いなる者であった。
0,18,1,4,そのむすこたちは、めいめい自分の日に、自分の家でふるまいを設け、その三人の姉妹をも招いて一緒に食い飲みするのを常とした。
0,18,1,5,そのふるまいの日がひとめぐり終るごとに、ヨブは彼らを呼び寄せて聖別し、朝早く起きて、彼らすべての数にしたがって燔祭をささげた。これはヨブが「わたしのむすこたちは、ことによったら罪を犯し、その心に神をのろったかもしれない」と思ったからである。ヨブはいつも、このように行った。
0,18,1,6,ある日、神の子たちが来て、主の前に立った。サタンも来てその中にいた。
0,18,1,7,主は言われた、「あなたはどこから来たか」。サタンは主に答えて言った、「地を行きめぐり、あちらこちら歩いてきました」。
0,18,1,8,主はサタンに言われた、「あなたはわたしのしもべヨブのように全く、かつ正しく、神を恐れ、悪に遠ざかる者の世にないことを気づいたか」。
0,18,1,9,サタンは主に答えて言った、「ヨブはいたずらに神を恐れましょうか。
0,18,1,10,あなたは彼とその家およびすべての所有物のまわりにくまなく、まがきを設けられたではありませんか。あなたは彼の勤労を祝福されたので、その家畜は地にふえたのです。
0,18,1,11,しかし今あなたの手を伸べて、彼のすべての所有物を撃ってごらんなさい。彼は必ずあなたの顔に向かって、あなたをのろうでしょう」。
0,18,1,12,主はサタンに言われた、「見よ、彼のすべての所有物をあなたの手にまかせる。ただ彼の身に手をつけてはならない」。サタンは主の前から出て行った。
0,18,1,13,ある日ヨブのむすこ、娘たちが第一の兄の家で食事をし、酒を飲んでいたとき、
0,18,1,14,使者がヨブのもとに来て言った、「牛が耕し、ろばがそのかたわらで草を食っていると、
0,18,1,15,シバびとが襲ってきて、これを奪い、つるぎをもってしもべたちを打ち殺しました。わたしはただひとりのがれて、あなたに告げるために来ました」。
0,18,1,16,彼がなお語っているうちに、またひとりが来て言った、「神の火が天から下って、羊およびしもべたちを焼き滅ぼしました。わたしはただひとりのがれて、あなたに告げるために来ました」。
